id         ,dataset_id ,name                                                                                                ,data_type                                         ,definition                                                                                                                                                                                                                                                      ,is_pii,sample_data                                                                                                                                                                                                                                                     
       1109,         21,MCH_CODE                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1110,         21,ACTION_ID                                                                                           ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1111,         21,INTERVAL                                                                                            ,bigint                                            ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1112,         22,COMPANY                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1113,         22,INVOICE_ID                                                                                          ,bigint                                            ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1114,         22,PARTY_TYPE                                                                                          ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1115,         22,IDENTITY                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1116,         22,INVOICE_DATE                                                                                        ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1117,         22,GROSS_AMOUNT                                                                                        ,float                                             ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1118,         23,BUYER_CODE                                                                                          ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1119,         23,NAME                                                                                                ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1120,         24,REQUISITION_NO                                                                                      ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1121,         24,LINE_NO                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1122,         24,RELEASE_NO                                                                                          ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1123,         24,PART_NO                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1124,         24,ORIGINAL_QTY                                                                                        ,float                                             ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1125,         24,LATEST_ORDER_DATE                                                                                   ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1126,         24,VENDOR_NO                                                                                           ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1127,         24,STATE                                                                                               ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1128,         25,PART_NO                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1129,         25,CONTRACT                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1130,         25,VENDOR_NO                                                                                           ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1131,         25,LIST_PRICE                                                                                          ,float                                             ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1132,         25,CURRENCY_CODE                                                                                       ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1133,         25,PRIMARY_VENDOR_DB                                                                                   ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1134,         26,AUDIT_ID                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1135,         26,DESCRIPTION                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1136,         26,AUDIT_DATE                                                                                          ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1137,         26,AUDITOR_ID                                                                                          ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1138,         26,RESULT                                                                                              ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1139,         27,REQUISITION_NO                                                                                      ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1140,         27,CONTRACT                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1141,         27,REQUISITIONER_CODE                                                                                  ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1142,         27,DATE_ENTERED                                                                                        ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1143,         27,STATE                                                                                               ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1144,         28,CONTRACT                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1145,         28,WAREHOUSE_ID                                                                                        ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1146,         28,DESCRIPTION                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1147,         29,WO_NO                                                                                               ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1148,         29,CONTRACT                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1149,         29,MCH_CODE                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1150,         29,ERR_DESCR                                                                                           ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1151,         29,PLAN_S_DATE                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1152,         29,STATE                                                                                               ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1153,         30,ORDER_NO                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1154,         30,LINE_NO                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1155,         30,REL_NO                                                                                              ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1156,         30,PART_NO                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1157,         30,BUY_QTY_DUE                                                                                         ,float                                             ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1158,         30,SALE_UNIT_PRICE                                                                                     ,float                                             ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1159,         30,PLANNED_DELIVERY_DATE                                                                               ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1160,         31,ORDER_NO                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1161,         31,CUSTOMER_NO                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1162,         31,CONTRACT                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1163,         31,DATE_ENTERED                                                                                        ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1164,         31,STATE                                                                                               ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1165,         31,CURRENCY_CODE                                                                                       ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1166,         32,COMPANY                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1167,         32,VOUCHER_TYPE                                                                                        ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1168,         32,VOUCHER_NO                                                                                          ,bigint                                            ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1169,         32,ROW_NO                                                                                              ,bigint                                            ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1170,         32,ACCOUNT                                                                                             ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1171,         32,AMOUNT                                                                                              ,float                                             ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1172,         32,TEXT                                                                                                ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1173,         32,VOUCHER_DATE                                                                                        ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1174,         33,ORDER_NO                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1175,         33,SUPPLIER_ID                                                                                         ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1176,         33,CONTRACT                                                                                            ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1177,         33,BUYER_CODE                                                                                          ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1178,         33,DATE_ENTERED                                                                                        ,datetime                                          ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1179,         33,STATE                                                                                               ,varchar(-1)                                       ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
       1180,         33,TOTAL_AMT                                                                                           ,float                                             ,Imported column                                                                                                                                                                                                                                                 ,     0,                                                                                                                                                                                                                                                                
